Time,X
"6-30",-0.001585
"6-30",-0.002659
"6-30",-0.00359
"6-30",-0.021935
"6-30",-0.004352
"6-30",-0.016983
"6-30",-0.008819
"6-30",-0.034182
"6-30",-0.043739
"6-30",-0.033977
"6-30",-0.032735
"6-30",-0.061964
"6-30",-0.15117
"6-30",-0.173087
"6-30",-0.086661
"6-30",-0.050384
"6-30",-0.015638
"6-30",0.016935
"6-30",0.008632
"6-30",-0.018051
"6-30",-0.052587
"6-30",-0.047869
"6-30",-0.034296
"6-30",-0.000792
"6-30",0.027008
"6-30",0.008764
"6-30",0.024709
"6-30",-0.012222
"6-30",-0.032897
"6-30",-0.043186
"6-30",-0.023346
"6-30",-0.018952
"6-30",0.02663
"6-30",0.024366
"6-30",-0.008446
"6-30",-0.057606
"6-30",-0.055162
"6-30",-0.04219
"6-30",-0.093822
"6-30",-0.106038
"6-30",-0.088593
"6-30",-0.031672
"6-30",-0.018874
"6-30",-0.052875
"6-30",-0.047887
"6-30",-0.082644
"6-30",-0.086336
"6-30",-0.056777
"6-30",-0.080339
"6-30",-0.064089
"6-30",-0.002347
"6-30",-0.015566
"6-30",-0.016575
"6-30",-0.014636
"6-30",-0.016779
"6-30",-0.028161
"6-30",-0.032621
"6-30",-0.048397
"6-30",-0.047226
"6-30",-0.030676
"6-30",-0.003614
"6-30",-0.006886
"6-30",-0.016388
"6-30",-0.025177
"6-30",-0.024901
"6-30",-0.042688
"6-30",-0.072637
"6-30",-0.049495
"6-30",-0.009299
"6-30",-0.027602
"6-30",-0.010061
"6-30",-0.005025
"6-30",0.003536
"6-30",0.023994
"6-30",0.018958
"6-30",0.011922
"6-30",-0.027338
"6-30",-0.033485
"6-30",-0.037021
"6-30",-0.030994
"6-30",0.017115
"6-30",0.014167
"6-30",-0.004064
"6-30",-0.002725
"6-30",-0.019228
"6-30",-0.02268
"6-30",-0.012871
"6-30",-0.033557
"6-30",-0.025819
"6-30",-0.038276
"6-30",-0.003092
"6-30",-0.030568
"6-30",-0.065079
"6-30",-0.091307
"6-30",-0.092489
"6-30",-0.050564
"6-30",-0.066502
"6-30",-0.051308
"6-30",-0.040629
"6-30",-0.036763
"6-30",-0.032801
"6-30",-0.009125
"6-30",-0.037399
"6-30",-0.020585
"6-30",-0.037297
"6-30",-0.021329
"6-30",0.010751
"6-30",0.00733
"6-30",0.00757
"6-30",-0.001609
"6-30",-0.020615
"6-30",-0.040617
"6-30",-0.069792
"6-30",-0.04982
"6-30",-0.026534
"6-30",-0.04569
"6-30",-0.029037
"6-30",-0.050792
"6-30",-0.055505
"6-30",-0.145611
"6-30",-0.160756
"6-30",-0.05835
"6-30",-0.059599
"6-30",-0.029259
"6-30",0.030255
"6-30",0.028322
"6-30",0.007222
"6-30",-0.004262
"6-30",-0.012162
"6-30",-0.019342
"6-30",-0.03019
"6-30",-0.007102
"6-30",0.021815
"6-30",0.028461
"6-30",0.051248
"6-30",0.033257
"6-30",0.008987
"6-30",-0.017925
"6-30",-0.034656
"6-30",-0.002882
"6-30",-0.039746
"6-30",-0.040275
"6-30",-0.003848
"6-30",0.009155
"6-30",-0.009809
"6-30",-0.079163
"6-30",-0.11628
"6-30",-0.125002
"6-30",-0.070176
"6-30",-0.035658
"6-30",-0.030316
"6-30",-0.03157
"6-30",-0.047935
"6-30",-0.097514
"6-30",-0.0813
"6-30",-0.059563
"6-30",-0.011934
"6-30",0.041745
"6-30",0.028449
"6-30",0.026582
"6-30",0.027734
"6-30",0.008326
"6-30",0.011604
"6-30",0.02292
"6-30",0.011784
"6-30",0.005247
"6-30",0.019828
"6-30",0.036535
"6-30",0.040419
"6-30",0.043234
"6-30",0.024282
"6-30",0.002143
"6-30",-0.004424
"6-30",-0.007312
"6-30",0.021779
"6-30",0.074558
"6-30",0.056495
"6-30",0.054478
"6-30",0.033473
"6-30",0.010049
"6-30",0.007546
"6-30",0.031618
"6-30",0.047634
"6-30",0.041847
"6-30",0.034211
"6-30",0.061916
"6-30",0.025711
"6-30",0.036096
"6-30",0.041937
"6-30",0.035256
